Used_Algorithm,run_id,video_name,video_length,video_avg_bitrate_quality1,video_avg_bitrate_quality2,video_avg_bitrate_quality3,video_avg_bitrate_quality4,video_avg_bitrate_quality5,pattern_avg_throughput,pattern_timeshift,sim_avg_quality,sim_nr_of_switches,sim_nr_of_stallings,sim_avg_stalling_time,sim_total_stalling_time,sim_max_stalling_time,sim_avg_buffer_level,sim_max_buffer_level,sim_startup_nr_of_stallings,sim_startup_nr_of_switches,sim_startup_total_stalling_time,sim_endphase_nr_of_stallings,sim_endphase_nr_of_switches,sim_endphase_total_stalling_time,sim_critbuff_time,sim_lowbuff_time,sim_riskybuff_time,sim_healthybuff_time,sim_bloatedbuff_time,sim_jumps_1_levels,sim_jumps_2_levels,sim_jumps_3_levels,sim_jumps_4_levels,opt_avg_quality,opt_nr_of_switches,opt_avg_buffer_level,opt_max_buffer_level,opt_critbuff_time,opt_lowbuff_time,opt_riskybuff_time,opt_healthybuff_time,opt_bloatedbuff_time,opt_jumps_1_levels,opt_jumps_2_levels,opt_jumps_3_levels,opt_jumps_4_levels,opt_avg_quality_afull,opt_nr_of_switches_afull,buff_D,meta_alpha,meta_nn_model
KLUDCP,3ac93845-6add-42e1-b79b-e9a3c88fb8c8,rrlr02YDr5A,268,0.38188209,0.68288408,0.036969652,0.081589055,0.201824876,0.012735089,217,3.76119403,55,0,0,0,0,17.0929368,34,0,13,0,0,4,0,1.924604595,34.97856169,101.2819348,158.4093544,0,53,2,0,0,3.865671642,1,11.04283054,26,47.38682402,138.2139195,179.6920458,89.27346961,0,0,0,1,0,3.947761194,42,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,3ad45dc8-dfd8-4821-bc39-d19cddb03552,vlDzYIIOYmM,242,0.391944331,0.782973223,0.037585675,0.083042799,0.214413223,0.001391602,14,3.181818182,57,0,0,0,0,10.96707819,23,0,9,0,0,1,0,1.251592189,26.49449771,214.7769465,8.589793379,0,57,0,0,0,3.404958678,2,29.5257732,60,15.07991083,28.90217134,45.67690812,187.7918265,0,1,1,0,0,3.5,91,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,3b2520da-ad3b-4077-b4d3-aab159208bcf,C5rC8uAtiBc,363,0.096085186,0.228800705,0.013554042,0.030841653,0.045523159,0.00981774,175,4.749311295,52,0,0,0,0,18.90384615,37,0,11,0,0,0,0,2.191956294,28.56270998,135.1416478,208.3314774,0,47,4,1,0,4.782369146,1,30.25997249,46,2.30325467,4.132139308,13.33641596,334.2699397,0,1,0,0,0,4.870523416,19,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,3b2ac60a-3769-4215-a6fe-bc0427c54272,CKmVUlJ2iQg,432,0.04382284,0.09749958,0.008487185,0.030667284,0.047219321,0.008048926,357,3.949074074,96,0,0,0,0,13.76443418,25,0,4,0,0,0,0,2.168566422,72.27325159,258.5397192,152.4390571,0,88,7,1,0,4.106481481,2,11.58381503,25,83.64309326,175.7661779,271.3926962,162.6435157,0,1,0,1,0,4.201388889,55,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,3b2ec9f8-b87e-4fdd-adf5-553f0208553e,ntkD_Iumjlo,404,0.30430631,0.528492079,0.029550832,0.065593426,0.16973697,0.007727784,518,3.066831683,108,0,0,0,0,13.04444444,17,0,11,0,0,6,0,0.925985906,7.562633769,291.7451165,102.1254499,0,104,3,1,0,3.155940594,3,17.61681088,42,11.72359165,87.97349745,174.1804931,224.4335679,0,3,0,0,0,3.242574257,93,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,3b4639ef-cf4e-4c1e-928d-45566dd2ebe9,xe-f4gokRBs,398,0.320061809,0.583676382,0.03689196,0.082803015,0.172432663,0.011369184,483,3.804020101,125,0,0,0,0,15.87218045,29,0,17,0,0,1,0,1.780725969,88.48139954,180.2671516,193.5300128,0,113,10,2,0,3.987437186,2,18.46675031,43,7.567889129,74.95559273,189.7271957,203.7371762,0,2,0,0,0,4.08040201,81,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,3b57f79c-0d6e-4db9-8653-a0386663596b,rrhc5-Fxo0g,345,0.292139733,0.5698416,0.036345067,0.0819888,0.150504533,0.00354787,308,3.739130435,86,0,0,0,0,12.50578035,24,0,13,0,0,3,0,1.597387465,36.22707799,237.4698223,87.65972776,0,79,6,1,0,3.866666667,2,13.723589,24,22.08574736,58.70392231,172.020245,159.9388942,0,2,0,0,0,3.956521739,33,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,3b68877b-15a3-4b10-96f0-2601a10c7c07,D81u4XkDNLY,294,0.22418966,0.436398204,0.017604599,0.058321061,0.119982803,0.011167621,0,3.346938776,67,0,0,0,0,13.3559322,24,0,8,0,0,5,0,0.822279195,35.86938007,184.6252498,100.089383,0,64,3,0,0,3.431972789,2,9.157894737,20,73.277381,162.3134155,217.0401425,76.4186218,0,2,0,0,0,3.503401361,47,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,3b704c7d-4b8c-466c-85d3-f1ac75475aba,aZ4KNMnTsIs,386,0.413797029,0.82626675,0.038917554,0.085881216,0.207881202,0.006792359,637,3.124352332,104,0,0,0,0,12.68217054,23,0,11,0,0,1,0,1.403329032,30.55388583,310.9099341,58.3296984,0,103,1,0,0,3.261658031,1,25.76455369,50,6.741042315,35.57978174,77.35186185,298.7995057,0,1,0,0,0,3.336787565,80,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,3b75382c-eff3-46d3-8fe1-03913a47ce71,rrlr02YDr5A,268,0.38188209,0.68288408,0.036969652,0.081589055,0.201824876,0.009295251,581,3.21641791,73,0,0,0,0,15.08550186,30,0,11,0,0,7,0,1.835061834,43.75211352,134.7506345,124.0205881,0,71,2,0,0,3.350746269,3,21.10986965,47,41.33831118,79.13287576,105.7891286,164.2075982,0,3,0,0,0,3.444029851,26,10,na,Sigmoid242_Sigmoid110_Softmax5
